,nit,entidad_matriz,year,entidad,localizacion,localizacion_desc,mision_vision,pers_estrategica,ppto_global,mes_proyectado,precio_base,date_last_publication,ref_contrato,date_publised,modalidad,contacto,cod_producto,nombre_producto,cod_clase,nombre_clase,cod_familia,nombre_familia,diff_dates,year_publised,rango_precio
633160,832000283,CORPORACION AUTONOMA REGIONAL DE LA ORINOQUIA,2019,CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUIA,CO-CAS-85001,Casanare,"* MISION: Corporinoquia como autoridad ambiental y administradora de los recursos naturales, gestiona el desarrollo sostenible, garantizando la oferta de bienes y servicios ambientales, mediante la implementación de acciones de prevención, protección y conservación por una región viva.

* VISION: Al 2024 Corporinoquia habrá alcanzado el ordenamiento ambiental y sostenible de su territorio, mediante el trabajo articulado con los diferentes actores sociales, armonizando el desarrollo económico y social con la conservación del medio ambiente y la construcción de una región más competitiva.","Llegar a toda la jurisdicción de Corporinoquia generando apropiación de la riqueza ambiental y promoviendo la conservación y preservación de la misma mediante actividades de control, seguimiento y evaluación",5464307501,Enero,4468512.0,2019-03-01 00:00:00,120-12-13-19-025,2019-01-10 00:00:00,CCE-16-Servicios_profesionales_gestion,CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUIA - CORPORINOQUIA,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,50,2019,0-21.000.000
633176,832000283,CORPORACION AUTONOMA REGIONAL DE LA ORINOQUIA,2019,CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUIA,CO-CAS-85001,Casanare,"* MISION: Corporinoquia como autoridad ambiental y administradora de los recursos naturales, gestiona el desarrollo sostenible, garantizando la oferta de bienes y servicios ambientales, mediante la implementación de acciones de prevención, protección y conservación por una región viva.

* VISION: Al 2024 Corporinoquia habrá alcanzado el ordenamiento ambiental y sostenible de su territorio, mediante el trabajo articulado con los diferentes actores sociales, armonizando el desarrollo económico y social con la conservación del medio ambiente y la construcción de una región más competitiva.","Llegar a toda la jurisdicción de Corporinoquia generando apropiación de la riqueza ambiental y promoviendo la conservación y preservación de la misma mediante actividades de control, seguimiento y evaluación",5464307501,Febrero,86960440.0,2019-03-01 00:00:00,120.12.13.19.236,2019-01-10 00:00:00,CCE-16-Servicios_profesionales_gestion,CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUIA - CORPORINOQUIA,V1.81112205,Mantenimiento de software de sistemas de gestión de bases de datos,V1.81112200,Mantenimiento y soporte de software,V1.81110000,Servicios informáticos,50,2019,81804454-2.9550.000.000
633178,832000283,CORPORACION AUTONOMA REGIONAL DE LA ORINOQUIA,2019,CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUIA,CO-CAS-85001,Casanare,"* MISION: Corporinoquia como autoridad ambiental y administradora de los recursos naturales, gestiona el desarrollo sostenible, garantizando la oferta de bienes y servicios ambientales, mediante la implementación de acciones de prevención, protección y conservación por una región viva.

* VISION: Al 2024 Corporinoquia habrá alcanzado el ordenamiento ambiental y sostenible de su territorio, mediante el trabajo articulado con los diferentes actores sociales, armonizando el desarrollo económico y social con la conservación del medio ambiente y la construcción de una región más competitiva.","Llegar a toda la jurisdicción de Corporinoquia generando apropiación de la riqueza ambiental y promoviendo la conservación y preservación de la misma mediante actividades de control, seguimiento y evaluación",5464307501,Enero,10426528.0,2019-03-01 00:00:00,120-12-13-19-188,2019-01-10 00:00:00,CCE-16-Servicios_profesionales_gestion,CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUIA - CORPORINOQUIA,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,50,2019,0-21.000.000
633189,832000283,CORPORACION AUTONOMA REGIONAL DE LA ORINOQUIA,2019,CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUIA,CO-CAS-85001,Casanare,"* MISION: Corporinoquia como autoridad ambiental y administradora de los recursos naturales, gestiona el desarrollo sostenible, garantizando la oferta de bienes y servicios ambientales, mediante la implementación de acciones de prevención, protección y conservación por una región viva.

* VISION: Al 2024 Corporinoquia habrá alcanzado el ordenamiento ambiental y sostenible de su territorio, mediante el trabajo articulado con los diferentes actores sociales, armonizando el desarrollo económico y social con la conservación del medio ambiente y la construcción de una región más competitiva.","Llegar a toda la jurisdicción de Corporinoquia generando apropiación de la riqueza ambiental y promoviendo la conservación y preservación de la misma mediante actividades de control, seguimiento y evaluación",5464307501,Enero,10426528.0,2019-03-01 00:00:00,120-12-13-19-066,2019-01-10 00:00:00,CCE-16-Servicios_profesionales_gestion,CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUIA - CORPORINOQUIA,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,50,2019,0-21.000.000
633206,832000283,CORPORACION AUTONOMA REGIONAL DE LA ORINOQUIA,2019,CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUIA,CO-CAS-85001,Casanare,"* MISION: Corporinoquia como autoridad ambiental y administradora de los recursos naturales, gestiona el desarrollo sostenible, garantizando la oferta de bienes y servicios ambientales, mediante la implementación de acciones de prevención, protección y conservación por una región viva.

* VISION: Al 2024 Corporinoquia habrá alcanzado el ordenamiento ambiental y sostenible de su territorio, mediante el trabajo articulado con los diferentes actores sociales, armonizando el desarrollo económico y social con la conservación del medio ambiente y la construcción de una región más competitiva.","Llegar a toda la jurisdicción de Corporinoquia generando apropiación de la riqueza ambiental y promoviendo la conservación y preservación de la misma mediante actividades de control, seguimiento y evaluación",5464307501,Enero,10426528.0,2019-03-01 00:00:00,120-12-13-19-068,2019-01-10 00:00:00,CCE-16-Servicios_profesionales_gestion,CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUIA - CORPORINOQUIA,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,50,2019,0-21.000.000
633284,832001465,ESE SAN ANTONIO DE ANOLAIMA,2019,ESE SAN ANTONIO DE ANOLAIMA,CO-CUN-25040,Cundinamarca,"Brindar  en los  municipios de Anolaima y Quipile servicios  de salud  de la mas alta calidad humana y técnico-científica de acuerdo a su nivel de complejidad haciendo énfasis en la atención integral al usuario en forma oportuna,  eficaz y eficiente dirigiendo los esfuerzos a la contribución del bienestar físico y social de nuestras comunidades, bajo una gestión participativa, se desarrollara una labor con respeto mutuo y lealtad, donde la satisfacción del usuario será nuestro principal objetivo.VISION Ser reconocido a nivel departamental como una institución que busca  en forma permanente la excelencia en la prestación de los servicios de salud de acuerdo al grado corporativo y nivel de complejidad con la participación de nuestros usuarios, bajo un modelo de solidaridad eficacia, eficiencia y calidad, aumentando cada día la cobertura en salud.","El principal objetivo del Plan Anual de Adquisiciones es permitir que la entidad estatal aumente la probabilidad de lograr mejores condiciones de competencia a través de la participación de un mayor número de operadores económicos interesados en los procesos de selección que se van a adelantar durante el año fiscal, y que el Estado cuente con información suficiente para realizar compras coordinadas.",877368971,Enero,1300000.0,2019-11-28 00:00:00,OPS 056-2019,2019-01-15 00:00:00,CCE-16-Servicios_profesionales_gestion,OLGA LUCIA RODRIGUEZ LOMBANA,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,317,2019,0-21.000.000
634866,834000487,BATALLON DE INGENIEROS No 18 'GENERAL RAFAEL NAVAS PARDO',2018,BATALLÓN DE INGENIEROS No 18 'GENERAL RAFAEL NAVAS PARDO',CO-ARA-81794,Arauca,"Misión: El Ejército Nacional conduce operaciones militares orientadas a defender la soberanía, la independencia y la integridad territorial, proteger a la población civil, los recursos privados y estatales para contribuir a generar un ambiente de paz, seguridad y desarrollo, que garantice el orden institucional de la Nación.  
Visión: Un Ejército legítimo, disciplinado, moderno, profesional, entrenado, afianzado en sus valores, con la moral en alto, capaz de neutralizar las amenazas internas y externas en el cumplimiento de su misión, contribuyendo a la construcción de los caminos de la paz y al desarrollo de la Nación.
En el año 2030, el Ejército Nacional será una Fuerza distinguida por altos estándares de efectividad y competitividad en el cumplimiento de las misiones y roles asignados: Flexible y adaptable a los escenarios con niveles superiores de capacidades  operacionales, modernizado y afianzado en el alto desempeño y profesionalización de sus hombre y en la innovación tecnológica, para combatir las nuevas amenazas, asumir los retos emergentes, preservar la paz, el medio ambiente y contribuir al logro de los fines del Estado, en absoluto arraigo del respeto a la dignidad humana.","Basados en la compaña Fe en Colombia el Batallón de Ingenieros No.18 General Rafael Navas Pardo, tiene como perspectiva el apoyo a la comunidad, coadyuvar en proyectos productivos que impulsen el desarrollo de la Región con el fin de minimizar los factores de inestabilidad que existen en el Departamento de Arauca.",1204545086,Enero,9270000.0,2018-12-15 00:00:00,003-BIRAN18-2018,2018-01-25 00:00:00,CCE-16-Servicios_profesionales_gestion,MARLON SALCEDO CALDERON,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,324,2018,0-21.000.000
634867,834000487,BATALLON DE INGENIEROS No 18 'GENERAL RAFAEL NAVAS PARDO',2018,BATALLÓN DE INGENIEROS No 18 'GENERAL RAFAEL NAVAS PARDO',CO-ARA-81794,Arauca,"Misión: El Ejército Nacional conduce operaciones militares orientadas a defender la soberanía, la independencia y la integridad territorial, proteger a la población civil, los recursos privados y estatales para contribuir a generar un ambiente de paz, seguridad y desarrollo, que garantice el orden institucional de la Nación.  
Visión: Un Ejército legítimo, disciplinado, moderno, profesional, entrenado, afianzado en sus valores, con la moral en alto, capaz de neutralizar las amenazas internas y externas en el cumplimiento de su misión, contribuyendo a la construcción de los caminos de la paz y al desarrollo de la Nación.
En el año 2030, el Ejército Nacional será una Fuerza distinguida por altos estándares de efectividad y competitividad en el cumplimiento de las misiones y roles asignados: Flexible y adaptable a los escenarios con niveles superiores de capacidades  operacionales, modernizado y afianzado en el alto desempeño y profesionalización de sus hombre y en la innovación tecnológica, para combatir las nuevas amenazas, asumir los retos emergentes, preservar la paz, el medio ambiente y contribuir al logro de los fines del Estado, en absoluto arraigo del respeto a la dignidad humana.","Basados en la compaña Fe en Colombia el Batallón de Ingenieros No.18 General Rafael Navas Pardo, tiene como perspectiva el apoyo a la comunidad, coadyuvar en proyectos productivos que impulsen el desarrollo de la Región con el fin de minimizar los factores de inestabilidad que existen en el Departamento de Arauca.",1204545086,Enero,9270000.0,2018-12-15 00:00:00,006-BIRAN18-2018,2018-01-25 00:00:00,CCE-16-Servicios_profesionales_gestion,MARLON SALCEDO CALDERON,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,324,2018,0-21.000.000
634871,834000487,BATALLON DE INGENIEROS No 18 'GENERAL RAFAEL NAVAS PARDO',2019,BATALLÓN DE INGENIEROS No 18 'GENERAL RAFAEL NAVAS PARDO',CO-ARA-81794,Arauca,"Misión: El Ejército Nacional conduce operaciones militares orientadas a defender la soberanía, la independencia y la integridad territorial, proteger a la población civil, los recursos privados y estatales para contribuir a generar un ambiente de paz, seguridad y desarrollo, que garantice el orden institucional de la Nación. Visión: Un Ejército legítimo, disciplinado, moderno, profesional, entrenado, afianzado en sus valores, con la moral en alto, capaz de neutralizar las amenazas internas y externas en el cumplimiento de su misión, contribuyendo a la construcción de los caminos de la paz y al desarrollo de la Nación. En el año 2030, el Ejército Nacional será una Fuerza distinguida por altos estándares de efectividad y competitividad en el cumplimiento de las misiones y roles asignados: Flexible y adaptable a los escenarios con niveles superiores de capacidades operacionales, modernizado y afianzado en el alto desempeño y profesionalización de sus hombre y en la innovación tecnológica, para combatir las nuevas amenazas, asumir los retos emergentes, preservar la paz, el medio ambiente y contribuir al logro de los fines del Estado, en absoluto arraigo del respeto a la dignidad humana.","Basados en la compaña Fe en Colombia el Batallón de Ingenieros No.18 General Rafael Navas Pardo, tiene como perspectiva el apoyo a la comunidad, coadyuvar en proyectos productivos que impulsen el desarrollo de la Región con el fin de minimizar los factores de inestabilidad que existen en el Departamento de Arauca.",1932063977,Enero,6695000.0,2019-12-17 00:00:00,003-BIRAN18-2019,2019-01-31 00:00:00,CCE-16-Servicios_profesionales_gestion,PHANOR CARABALI AMU,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,320,2019,0-21.000.000
634890,834000487,BATALLON DE INGENIEROS No 18 'GENERAL RAFAEL NAVAS PARDO',2018,BATALLÓN DE INGENIEROS No 18 'GENERAL RAFAEL NAVAS PARDO',CO-ARA-81794,Arauca,"Misión: El Ejército Nacional conduce operaciones militares orientadas a defender la soberanía, la independencia y la integridad territorial, proteger a la población civil, los recursos privados y estatales para contribuir a generar un ambiente de paz, seguridad y desarrollo, que garantice el orden institucional de la Nación.  
Visión: Un Ejército legítimo, disciplinado, moderno, profesional, entrenado, afianzado en sus valores, con la moral en alto, capaz de neutralizar las amenazas internas y externas en el cumplimiento de su misión, contribuyendo a la construcción de los caminos de la paz y al desarrollo de la Nación.
En el año 2030, el Ejército Nacional será una Fuerza distinguida por altos estándares de efectividad y competitividad en el cumplimiento de las misiones y roles asignados: Flexible y adaptable a los escenarios con niveles superiores de capacidades  operacionales, modernizado y afianzado en el alto desempeño y profesionalización de sus hombre y en la innovación tecnológica, para combatir las nuevas amenazas, asumir los retos emergentes, preservar la paz, el medio ambiente y contribuir al logro de los fines del Estado, en absoluto arraigo del respeto a la dignidad humana.","Basados en la compaña Fe en Colombia el Batallón de Ingenieros No.18 General Rafael Navas Pardo, tiene como perspectiva el apoyo a la comunidad, coadyuvar en proyectos productivos que impulsen el desarrollo de la Región con el fin de minimizar los factores de inestabilidad que existen en el Departamento de Arauca.",1204545086,Enero,9270000.0,2018-12-15 00:00:00,005-BIRAN18-2018,2018-01-25 00:00:00,CCE-16-Servicios_profesionales_gestion,MARLON SALCEDO CALDERON,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,324,2018,0-21.000.000
634922,834000487,BATALLON DE INGENIEROS No 18 'GENERAL RAFAEL NAVAS PARDO',2018,BATALLÓN DE INGENIEROS No 18 'GENERAL RAFAEL NAVAS PARDO',CO-ARA-81794,Arauca,"Misión: El Ejército Nacional conduce operaciones militares orientadas a defender la soberanía, la independencia y la integridad territorial, proteger a la población civil, los recursos privados y estatales para contribuir a generar un ambiente de paz, seguridad y desarrollo, que garantice el orden institucional de la Nación.  
Visión: Un Ejército legítimo, disciplinado, moderno, profesional, entrenado, afianzado en sus valores, con la moral en alto, capaz de neutralizar las amenazas internas y externas en el cumplimiento de su misión, contribuyendo a la construcción de los caminos de la paz y al desarrollo de la Nación.
En el año 2030, el Ejército Nacional será una Fuerza distinguida por altos estándares de efectividad y competitividad en el cumplimiento de las misiones y roles asignados: Flexible y adaptable a los escenarios con niveles superiores de capacidades  operacionales, modernizado y afianzado en el alto desempeño y profesionalización de sus hombre y en la innovación tecnológica, para combatir las nuevas amenazas, asumir los retos emergentes, preservar la paz, el medio ambiente y contribuir al logro de los fines del Estado, en absoluto arraigo del respeto a la dignidad humana.","Basados en la compaña Fe en Colombia el Batallón de Ingenieros No.18 General Rafael Navas Pardo, tiene como perspectiva el apoyo a la comunidad, coadyuvar en proyectos productivos que impulsen el desarrollo de la Región con el fin de minimizar los factores de inestabilidad que existen en el Departamento de Arauca.",1204545086,Enero,9270000.0,2018-12-15 00:00:00,004-BIRAN18-2018,2018-01-25 00:00:00,CCE-16-Servicios_profesionales_gestion,MARLON SALCEDO CALDERON,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,324,2018,0-21.000.000
637776,844000067,CENTRAL ADMINISTRATIVA Y CONTABLE REGIONAL YOPAL,2019,CENTRAL ADMINISTRATIVA Y CONTABLE REGIONAL YOPAL,CO-CAS-85001,Casanare,"MISION: Concentrar la Función Administrativa de las Unidades Centralizadas a través de la ordenación del gasto, la ejecución de la cadena presupuestal y de los procesos contractuales, contables de tesorería y de control de inventarios, inherentes a la operación y funcionamiento de las Unidades dependientes administrativamente, estas funciones se realizan dentro del marco normativo vigente, bajo premisas de mejora continúa a través de una centralización competitiva y efectiva. VISION: En el año 2022, la central administrativa y contable CENAC será reconocida como unidad especial distinguida por su organización sistémica y alta efectividad y competitividad, con capacidades humanas y técnicas consolidadas para asumir los retos, las tendencias del futuro y la demanda de las unidades operativas y tácticas del Ejercito Nacional en materia presupuestal, administrativa y financiera, bajo estándares de calidad y desarrollo de la gestión del conocimiento.","La Central Administrativa y Contable Yopal, Como unidad Centralizadora de las Unidades de la Decimo Sexta Brigada se proyecta en la ejecución de las partidas asignadas, con una participación activa de todos sus integrantes, de una manera transparente y eficiente, promoviendo la participación por parte de los oferentes y la satisfacción de las unidades. Teniendo como sede la ciudad de Yopal.",7538025083,Enero,18000000.0,2019-12-15 00:00:00,0107-CENACYOPAL-2019,2019-01-30 00:00:00,CCE-16-Servicios_profesionales_gestion,ST. ALEJANDRA RODRIGUEZ,V1.80111609,Administradores temporales de bases de datos o de sistemas de tecnologías de la información,V1.80111600,Servicios de personal temporal,V1.80110000,Servicios de recursos humanos,319,2019,0-21.000.000
638646,860015971,INSTITUTO NACIONAL PARA CIEGOS,2018,INSTITUTO NACIONAL PARA CIEGOS,CO-DC-11001,Distrito Capital de Bogotá,Orientar la planeación y ejecución de políticas públicas nacionales y territoriales para garantizar la educación inclusiva de las personas con discapacidad visual; promover su movilización y participación para el ejercicio efectivo de sus derechos.,"El plan de acción anual PAA 2018 del Instituto Nacional para Ciegos, consolida las principales lineas de operación conducentes al logro de los objetivos establecidos en el Plan estratégico 2015-2018. Todas las contrataciones se realizan en Bogota. El Instituto cuenta con con un presupuesto de  $ 7.617.798.917",2870581763,Mayo,30476107.0,2018-12-18 00:00:00,089 - 2018,2018-01-10 00:00:00,CCE-06-Seleccion_Abreviada_Menor_Cuantia,Ricardo Hernandez - Jefe de la Oficina Asesora de Planeacion,V1.80101507,Servicios de asesoramiento sobre tecnologías de la información,V1.80101500,Servicios de consultoría de negocios y administración corporativa,V1.80100000,Servicios de asesoría de gestión,342,2018,21.000.001-43.827.960
638669,860015971,INSTITUTO NACIONAL PARA CIEGOS,2018,INSTITUTO NACIONAL PARA CIEGOS,CO-DC-11001,Distrito Capital de Bogotá,Orientar la planeación y ejecución de políticas públicas nacionales y territoriales para garantizar la educación inclusiva de las personas con discapacidad visual; promover su movilización y participación para el ejercicio efectivo de sus derechos.,"El plan de acción anual PAA 2018 del Instituto Nacional para Ciegos, consolida las principales lineas de operación conducentes al logro de los objetivos establecidos en el Plan estratégico 2015-2018. Todas las contrataciones se realizan en Bogota. El Instituto cuenta con con un presupuesto de  $ 7.617.798.917",2870581763,Mayo,2000000.0,2018-12-18 00:00:00,089 - 2018,2018-01-10 00:00:00,CCE-06-Seleccion_Abreviada_Menor_Cuantia,Ricardo Hernandez - Jefe de la Oficina Asesora de Planeacion,V1.80101507,Servicios de asesoramiento sobre tecnologías de la información,V1.80101500,Servicios de consultoría de negocios y administración corporativa,V1.80100000,Servicios de asesoría de gestión,342,2018,0-21.000.000
638709,860015971,INSTITUTO NACIONAL PARA CIEGOS,2018,INSTITUTO NACIONAL PARA CIEGOS,CO-DC-11001,Distrito Capital de Bogotá,Orientar la planeación y ejecución de políticas públicas nacionales y territoriales para garantizar la educación inclusiva de las personas con discapacidad visual; promover su movilización y participación para el ejercicio efectivo de sus derechos.,"El plan de acción anual PAA 2018 del Instituto Nacional para Ciegos, consolida las principales lineas de operación conducentes al logro de los objetivos establecidos en el Plan estratégico 2015-2018. Todas las contrataciones se realizan en Bogota. El Instituto cuenta con con un presupuesto de  $ 7.617.798.917",2870581763,Junio,27365081.0,2018-12-18 00:00:00,089 - 2018,2018-01-10 00:00:00,CCE-06-Seleccion_Abreviada_Menor_Cuantia,Ricardo Hernandez - Jefe de la Oficina Asesora de Planeacion,V1.80101507,Servicios de asesoramiento sobre tecnologías de la información,V1.80101500,Servicios de consultoría de negocios y administración corporativa,V1.80100000,Servicios de asesoría de gestión,342,2018,21.000.001-43.827.960
638752,860015971,INSTITUTO NACIONAL PARA CIEGOS,2018,INSTITUTO NACIONAL PARA CIEGOS,CO-DC-11001,Distrito Capital de Bogotá,Orientar la planeación y ejecución de políticas públicas nacionales y territoriales para garantizar la educación inclusiva de las personas con discapacidad visual; promover su movilización y participación para el ejercicio efectivo de sus derechos.,"El plan de acción anual PAA 2018 del Instituto Nacional para Ciegos, consolida las principales lineas de operación conducentes al logro de los objetivos establecidos en el Plan estratégico 2015-2018. Todas las contrataciones se realizan en Bogota. El Instituto cuenta con con un presupuesto de  $ 7.617.798.917",2870581763,Mayo,39000000.0,2018-12-18 00:00:00,089 - 2018,2018-01-10 00:00:00,CCE-06-Seleccion_Abreviada_Menor_Cuantia,Ricardo Hernandez - Jefe de la Oficina Asesora de Planeacion,V1.80101507,Servicios de asesoramiento sobre tecnologías de la información,V1.80101500,Servicios de consultoría de negocios y administración corporativa,V1.80100000,Servicios de asesoría de gestión,342,2018,21.000.001-43.827.960
638817,860016627,INSTITUTO NACIONAL PARA SORDOS,2018,INSTITUTO NACIONAL PARA SORDOS,CO-DC-11001,Distrito Capital de Bogotá,"Promover, desde el sector educativo, el desarrollo e implementación de política pública para la inclusión social de la población sorda - Seremos reconocidos como una entidad del sector educativo, innovadora, eficaz y competente, en la generación de capacidad institucional y comunitaria sostenible, para la inclusión social de la población sorda",Potenciar al INSOR como un Organismo Asesor y Promotor de la igualdad de oportunidades para el goce efectivo de los derechos sociales de la población sorda. La entidad cuenta con una planta de personal de 72 funcionarios y un presupuesto anual de $8.564.723.034,3959026807,Enero,18714600.0,2018-12-28 00:00:00,CPS 107 DE 2018,2018-01-03 00:00:00,CCE-16-Servicios_profesionales_gestion,ANDRES SANTIAGO FLOREZ ORTEGON,V1.80111609,Administradores temporales de bases de datos o de sistemas de tecnologías de la información,V1.80111600,Servicios de personal temporal,V1.80110000,Servicios de recursos humanos,359,2018,0-21.000.000
640027,860020094,E.S.E HOSPITAL NUESTRA SENORA DEL CARMEN DEL COLEGIO,2019,E.S.E HOSPITAL NUESTRA SEÑORA DEL CARMEN DEL COLEGIO,CO-CUN-25245,Cundinamarca,"MISION
Somos una Empresa Social del Estado que brinda servicios de Primer Nivel de Atención con altos estándares de calidad, fundamentados en un Modelo de Atención Integral de base Comunitaria, para lo que contamos con un equipo humano comprometido con la calidad, seguridad y humanización en la atención y la tecnología adecuada, contribuyendo a mejorar las condiciones de calidad de vida y salud de nuestros usuarios y sus familias y el éxito financiero de la empresa
VISION
En el 2020 seremos una Empresa Social del Estado auto sostenible, con reconocimiento regional y departamental por la consolidación de nuestro Modelo de Atención de base comunitaria y el manejo transparente de los recursos, a través del mejoramiento continuo de los procesos, el logro de altos estándares de Calidad y el compromiso de nuestros colaboradores en la satisfacción de nuestros usuarios, la salud de la Comunidad y cuidado del medio ambiente.","Lograr la sostenibilidad financiera y económica
Racionalizar los gastos y los costos en la prestación de servicios de salud.",3734442877,Enero,22730040.0,2019-08-27 00:00:00,CPS-070-2019,2019-02-13 00:00:00,CCE-16-Servicios_profesionales_gestion,Okaris Muñoz,V1.80101507,Servicios de asesoramiento sobre tecnologías de la información,V1.80101500,Servicios de consultoría de negocios y administración corporativa,V1.80100000,Servicios de asesoría de gestión,195,2019,21.000.001-43.827.960
640058,860020094,E.S.E HOSPITAL NUESTRA SENORA DEL CARMEN DEL COLEGIO,2018,E.S.E HOSPITAL NUESTRA SEÑORA DEL CARMEN DEL COLEGIO,CO-CUN-25245,Cundinamarca,"MISION
Somos una Empresa Social del Estado que brinda servicios de Primer Nivel de Atención con altos estándares de calidad, fundamentados en un Modelo de Atención Integral de base Comunitaria, para lo que contamos con un equipo humano comprometido con la calidad, seguridad y humanización en la atención y la tecnología adecuada, contribuyendo a mejorar las condiciones de calidad de vida y salud de nuestros usuarios y sus familias y el éxito financiero de la empresa
VISION
En el 2020 seremos una Empresa Social del Estado auto sostenible, con reconocimiento regional y departamental por la consolidación de nuestro Modelo de Atención de base comunitaria y el manejo transparente de los recursos, a través del mejoramiento continuo de los procesos, el logro de altos estándares de Calidad y el compromiso de nuestros colaboradores en la satisfacción de nuestros usuarios, la salud de la Comunidad y cuidado del medio ambiente.","Lograr la sostenibilidad financiera y económica
Racionalizar los gastos y los costos en la prestación de servicios de salud.",3525731882,Enero,22064640.0,2018-11-27 00:00:00,CPS007-2018,2018-02-23 00:00:00,CCE-16-Servicios_profesionales_gestion,Okaris Muñoz,V1.80101507,Servicios de asesoramiento sobre tecnologías de la información,V1.80101500,Servicios de consultoría de negocios y administración corporativa,V1.80100000,Servicios de asesoría de gestión,277,2018,21.000.001-43.827.960
640209,860020227,FONDO ROTATORIO DE LA POLICIA,2018,FONDO ROTATORIO DE LA POLICIA,CO-DC-11001,Distrito Capital de Bogotá,"Misión y visión:	Misión: El Fondo Rotatorio de la Policía garantiza un servicio efectivo y de calidad, soportado en la adquisición de bienes y servicios, venta de bienes, prestación de servicios, nacionalización de bienes y confección de uniformes, para apoyar el funcionamiento de la Policía Nacional, sector defensa y entidades estatales. Visión: Al año 2025, el Fondo Rotatorio de la Policía será una entidad que responda de manera efectiva a los requerimientos de la Policía Nacional, sector defensa y entidades del Estado, a través de la adquisición y prestación de bienes y servicios de alta calidad, fundamentados en la integridad, motivación y profesionalismo del talento humano, preservación del medio ambiente y los avances tecnológicos.","Objetivo 1. Garantizar a los clientes, bienes y servicios de calidad en el desarrollo de los procesos misionales; Objetivo 2. Incrementar la credibilidad y confianza de nuestros clientes; Objetivo 3.Incrementar la capacidad para responder a los requerimientos de la Policía Nacional, sector defensa y entidades del Estado; Objetivo 4.Garantizar los recursos necesarios para asegurar la sostenibilidad financiera de la entidad y la adecuada administración de los recursos que permita el eficiente desarrollo de los procesos misionales; Objetivo 5. Consolidar el enfoque integral de gestión en la entidad; Objetivo 6. Aumentar el número de clientes; Objetivo 7. Ampliar el portafolio de productos y servicios; Objetivo 8. Fortalecer la calidad de productos y servicios; Objetivo 9. Fortalecer la gestión del talento humano; Objetivo 10. Afianzar la cultura organizacional de la entidad; Objetivo 11. Modernizar los sistemas de información y herramientas tecnológicas de la entidad. Tiene única sede en Bogotá, cuenta con un planta de personal 200 funcionarios y un presupuesto total para el 2018 de $237.998.000.000,00",180227126659,Julio,50000000.0,2018-12-17 00:00:00,SAMC-026-2018,2018-01-06 00:00:00,CCE-06-Seleccion_Abreviada_Menor_Cuantia,Teniente Coronel Olga Hernández Jefe Oficina Asesora de Planeación,V1.93131503,Servicios de educación o divulgación de información sobre derechos humanos,V1.93131500,Programas de refugiados,V1.93130000,Ayuda y asistencia humanitaria,345,2018,43.827.961-81804454
